date,open,high,low,close,volume,code,amplitude,change_amount,change_percent,turnover_rate,amount
2023-05-25,43.965839995024155,45.30957301559638,43.91982174089497,45.1255,21717000,CSCO.US,3.1192,0.5706,1.2807,0,0
2023-05-26,45.19912623254715,46.1010839541496,45.19912623254715,45.8894,19825600,CSCO.US,1.9988,0.7639,1.6928,0,0
2023-05-30,46.00903434231595,46.46921672221509,45.77894315236638,46.1747,19074800,CSCO.US,1.5042,0.2853,0.6217,0,0
2023-05-31,45.93538745629282,46.04583118489942,45.659278134776336,45.7145,51990300,CSCO.US,0.8372,-0.4602,-0.9966,0,0
2023-06-01,45.79740731713315,46.10112806501607,45.33722436579539,45.779,17817000,CSCO.US,1.671,0.0645,0.1411,0,0
2023-06-02,45.89864512103362,46.24838414541687,45.769793901524,46.0367,19155400,CSCO.US,1.0454,0.2577,0.5629,0,0
2023-06-05,46.22070364377175,46.552034852687676,46.055038039313786,46.2115,13964100,CSCO.US,1.0796,0.1748,0.3797,0,0
2023-06-06,45.824992691310484,45.93543653792541,45.22675518881296,45.8434,16029600,CSCO.US,1.5336,-0.3681,-0.7966,0,0
2023-06-07,45.74217075038686,46.14713161819713,45.69615246995387,45.8158,15950600,CSCO.US,0.9837,-0.0276,-0.0602,0,0
2023-06-08,45.944687921780506,46.01831722934746,45.62255970117507,45.7238,13289100,CSCO.US,0.8638,-0.092,-0.2008,0,0
2023-06-09,45.5856526168831,45.99061298739448,45.438394300333506,45.7053,12173400,CSCO.US,1.2077,-0.0185,-0.0405,0,0
2023-06-12,45.94459587864611,46.48761093410286,45.71450475345257,46.46,15495000,CSCO.US,1.6915,0.7547,1.6512,0,0
2023-06-13,46.653359723491086,46.88345125891962,46.43247184947969,46.7546,24035500,CSCO.US,0.9707,0.2946,0.6341,0,0
2023-06-14,46.75454160033841,47.14109489703413,46.598079551675866,46.9018,16630700,CSCO.US,1.1614,0.1472,0.3148,0,0
2023-06-15,46.85582680441256,47.92345122187708,46.7821975342426,47.7946,22496900,CSCO.US,2.4333,0.8928,1.9036,0,0
2023-06-16,48.043047435221,48.23632406283395,47.79454891400434,47.9234,37134400,CSCO.US,0.9243,0.1288,0.2695,0,0
2023-06-20,47.803742229916516,47.932593287140016,47.37117082352336,47.4448,20138000,CSCO.US,1.1715,-0.4786,-0.9987,0,0
2023-06-21,47.28839386337683,47.306801179010684,46.77298902562885,46.8006,16939600,CSCO.US,1.1251,-0.6442,-1.3578,0,0
2023-06-22,46.616528070293114,47.06750731519822,46.41404759298878,47.0491,14993800,CSCO.US,1.3963,0.2485,0.531,0,0
2023-06-23,46.607313331082715,46.68094257805125,46.10111225817404,46.322,16544600,CSCO.US,1.2324,-0.7271,-1.5454,0,0
2023-06-26,46.303536446000734,46.754515035914075,46.183889065003314,46.2115,13032100,CSCO.US,1.2319,-0.1105,-0.2385,0,0
2023-06-27,46.30359885870423,46.97546582683887,46.24837691611781,46.8098,12981000,CSCO.US,1.5734,0.5983,1.2947,0,0
2023-06-28,46.736167091670225,46.95705484476201,46.42324277479019,46.819,11387600,CSCO.US,1.1404,0.0092,0.0197,0,0
2023-06-29,46.809772192017,47.18712190886181,46.772957585495554,47.1319,14246000,CSCO.US,0.8846,0.3129,0.6683,0,0
2023-06-30,47.74855113939412,48.09828994881913,47.417219635728316,47.6197,18188300,CSCO.US,1.445,0.4878,1.035,0,0
2023-07-03,47.269932226027215,47.70250364631991,47.242321284306406,47.6933,7338300,CSCO.US,0.9664,0.0736,0.1546,0,0
2023-07-05,47.26673412837766,47.8231406513721,47.22964036017803,47.7675,14950500,CSCO.US,1.2444,0.0742,0.1556,0,0
2023-07-06,47.35950620138213,47.47078759445372,46.970021325631585,47.3966,13931100,CSCO.US,1.0483,-0.3709,-0.7765,0,0
2023-07-07,47.29457344484615,47.8973474201236,47.05346385473518,47.2853,15580400,CSCO.US,1.7805,-0.1113,-0.2348,0,0
2023-07-10,47.359476360946324,47.75823443486853,47.31310914304839,47.6655,19046500,CSCO.US,0.9414,0.3802,0.8041,0,0
2023-07-11,47.82316047490747,48.3610203367544,47.79534013722573,48.3332,14998300,CSCO.US,1.1868,0.6677,1.4008,0,0
2023-07-12,47.813923136621725,48.1570408938085,46.858757488236925,47.0535,26332500,CSCO.US,2.6861,-1.2797,-2.6477,0,0
2023-07-13,47.007130001028386,47.86956107029168,46.97003619159771,47.7861,17864800,CSCO.US,1.9117,0.7326,1.557,0,0
2023-07-14,46.75669376643992,47.26673306773984,46.42284986013453,46.7196,19566600,CSCO.US,1.766,-1.0665,-2.2318,0,0
2023-07-17,46.552719542480766,47.24822830058555,46.497078841832376,47.1184,16140700,CSCO.US,1.6078,0.3988,0.8536,0,0
2023-07-18,47.275990592363854,47.63765470242706,47.15543588900946,47.5171,16430800,CSCO.US,1.0234,0.3987,0.8462,0,0
2023-07-19,48.416684092153034,48.62997344938718,47.94373812611208,48.6207,21745000,CSCO.US,1.4442,1.1036,2.3225,0,0
2023-07-20,48.27752339033268,49.02867194865326,48.14769524445011,48.565,22784400,CSCO.US,1.8119,-0.0557,-0.1146,0,0
2023-07-21,48.91738124550794,49.149217175581434,48.71336562704326,48.8061,51284800,CSCO.US,0.8975,0.2411,0.4964,0,0
2023-07-24,48.86181504332777,49.43676902561784,48.84326814067326,49.2513,18390200,CSCO.US,1.216,0.4452,0.9122,0,0
2023-07-25,49.32548848788572,49.854075222950485,49.251300875946804,49.7057,16136600,CSCO.US,1.2239,0.4544,0.9226,0,0
2023-07-26,49.65005039365558,49.752058341793465,49.11219030347404,49.3533,13563700,CSCO.US,1.2873,-0.3524,-0.709,0,0
2023-07-27,49.70570716887348,49.974637300943876,49.01947165945246,49.1493,15795500,CSCO.US,1.9354,-0.204,-0.4133,0,0
2023-07-28,48.27757964967791,48.61142384241483,48.008649605528724,48.3054,27491300,CSCO.US,1.2264,-0.8439,-1.717,0,0
2023-07-31,48.073531128976306,48.38882820814011,47.98079669392813,48.259,14193500,CSCO.US,0.8447,-0.0464,-0.0961,0,0
2023-08-01,48.7505389280526,48.94528142709942,48.50942916732797,48.834,15286200,CSCO.US,0.9032,0.575,1.1915,0,0
2023-08-02,48.57433099945656,49.25129284805532,48.51869029957173,48.7598,17693700,CSCO.US,1.5002,-0.0742,-0.1519,0,0
2023-08-03,48.676352134549845,49.39968142898591,48.44451582223059,49.2884,15186400,CSCO.US,1.9589,0.5286,1.0841,0,0
2023-08-04,49.03793592914616,49.44596716607551,48.7226390642462,48.8061,12266700,CSCO.US,1.4675,-0.4823,-0.9785,0,0
2023-08-07,49.12140624317824,49.21414063291428,48.85247651294374,49.1585,11327900,CSCO.US,0.741,0.3524,0.722,0,0
2023-08-08,48.83396219282258,49.269814115166426,48.55575883813503,49.2049,12224800,CSCO.US,1.4526,0.0464,0.0944,0,0
2023-08-09,49.05653896869114,49.56657859880041,48.8339762210071,49.14,18765500,CSCO.US,1.4889,-0.0649,-0.1319,0,0
2023-08-10,49.529493797085834,50.2064556108262,49.30693100900682,49.4924,16329500,CSCO.US,1.8305,0.3524,0.7171,0,0
2023-08-11,49.47386809723976,50.03027523610281,49.32549286020961,49.8819,14344500,CSCO.US,1.424,0.3895,0.787,0,0
2023-08-14,49.891112471234386,50.197136023567246,49.816924943396124,49.9653,20707300,CSCO.US,0.7622,0.0834,0.1672,0,0
2023-08-15,49.72418286692175,49.826190701971385,49.31615152672322,49.4738,20173400,CSCO.US,1.0208,-0.4915,-0.9837,0,0
2023-08-16,49.325489387286154,49.631513292114214,49.02873893411955,49.1122,26470200,CSCO.US,1.2184,-0.3616,-0.7309,0,0
2023-08-17,50.484669905892844,51.78295311434711,50.419755745470134,50.7536,45278000,CSCO.US,2.7757,1.6414,3.3421,0,0
2023-08-18,50.66078906157957,51.430484374065585,50.651515624079735,51.041,28839800,CSCO.US,1.5348,0.2874,0.5663,0,0
2023-08-21,51.1894372285139,51.73657070613751,51.1430699846475,51.412,18283200,CSCO.US,1.1628,0.371,0.7269,0,0
2023-08-22,51.44904687970701,51.764343850491095,51.26357807336345,51.4305,15661300,CSCO.US,0.974,0.0185,0.036,0,0
2023-08-23,51.56958283223349,52.11671561178785,51.37484065645991,51.9127,18250000,CSCO.US,1.4425,0.4822,0.9376,0,0
2023-08-24,52.22803186002484,52.37640695053627,51.198679669601766,51.2265,17586400,CSCO.US,2.2687,-0.6862,-1.3218,0,0
2023-08-25,51.23579488238356,51.81074859871076,51.23579488238356,51.6531,15731800,CSCO.US,1.1224,0.4266,0.8328,0,0
2023-08-28,51.829322988401614,52.1909876147297,51.634580497301876,52.1168,15189900,CSCO.US,1.0772,0.4637,0.8977,0,0
2023-08-29,52.255857672343424,52.67316265819177,52.033295013224304,52.4506,17859100,CSCO.US,1.2278,0.3338,0.6405,0,0
2023-08-30,52.515478119124886,52.77513437682142,52.432017179150996,52.6824,12145400,CSCO.US,0.6542,0.2318,0.4419,0,0
2023-08-31,52.951363904918026,53.35012198686399,52.756621585828135,53.1832,22619700,CSCO.US,1.1266,0.5008,0.9506,0,0
2023-09-01,53.22029501982676,53.96217053848613,53.22029501982676,53.6376,14080400,CSCO.US,1.3949,0.4544,0.8544,0,0
2023-09-05,53.61911344649636,53.61911344649636,53.07197963581782,53.0998,13885000,CSCO.US,1.0201,-0.5378,-1.0027,0,0
2023-09-06,52.95135934127098,53.294476731048036,52.923539012370135,53.007,11380400,CSCO.US,0.6986,-0.0928,-0.1748,0,0
2023-09-07,52.830822027595865,52.942103379944676,52.54334520069478,52.6639,14762000,CSCO.US,0.7523,-0.3431,-0.6473,0,0
2023-09-08,52.63606098371915,52.92353770861261,52.450592128949175,52.5526,13992000,CSCO.US,0.898,-0.1113,-0.2113,0,0
2023-09-11,52.59901857754048,52.83085487239917,52.33936192729874,52.7103,15842300,CSCO.US,0.9352,0.1577,0.3001,0,0
2023-09-12,52.53410977030442,52.72885227783776,52.24663273537425,52.293,13916100,CSCO.US,0.9148,-0.4173,-0.7917,0,0
2023-09-13,52.22809381570313,52.4228363530131,52.0055309159203,52.191,13092200,CSCO.US,0.798,-0.102,-0.1951,0,0
2023-09-14,52.32076721567642,52.36713443228017,52.00547014277089,52.2744,15760300,CSCO.US,0.693,0.0834,0.1598,0,0
2023-09-15,52.218783082579975,52.29297066287843,51.50472762220727,51.9684,44029200,CSCO.US,1.5079,-0.306,-0.5854,0,0
2023-09-18,51.94056554888717,52.19094856438797,51.77364353855331,52.0333,11825000,CSCO.US,0.803,0.0649,0.1249,0,0
2023-09-19,52.098197026287636,52.12601735221837,51.430509203950024,51.7829,10748500,CSCO.US,1.3367,-0.2504,-0.4812,0,0
2023-09-20,51.884904863930004,51.97763927834274,51.41195935042501,51.4676,12219900,CSCO.US,1.0924,-0.3153,-0.6089,0,0
2023-09-21,49.52951417229978,50.169382451252915,49.01020078648275,49.4646,37436100,CSCO.US,2.2523,-2.003,-3.8918,0,0
2023-09-22,49.52015157645099,49.918909351317545,49.33468284395493,49.6778,17869500,CSCO.US,1.1811,0.2132,0.431,0,0
2023-09-25,49.57585310303711,49.77986895942821,49.29764966250379,49.5944,14224400,CSCO.US,0.9707,-0.0834,-0.1679,0,0
2023-09-26,49.31615165909095,49.42743293398923,48.75974528459951,48.8803,15618400,CSCO.US,1.3463,-0.7141,-1.4399,0,0
2023-09-27,49.04722336373971,49.4923484765133,48.713379529159525,49.3347,15845500,CSCO.US,1.5936,0.4544,0.9296,0,0
2023-09-28,49.492354509103706,50.252776669445936,49.47380762714414,49.9653,17204400,CSCO.US,1.5789,0.6306,1.2782,0,0
2023-09-29,50.22493749906576,50.262031249065075,49.612890624077146,49.854,13951200,CSCO.US,1.2992,-0.1113,-0.2228,0,0
2023-10-02,49.9282601939708,50.44757345007451,49.90043984096524,50.4383,13934000,CSCO.US,1.0975,0.5843,1.172,0,0
2023-10-03,50.30754900185821,50.335570287971386,49.831187137934194,50.1114,15700600,CSCO.US,1.0,-0.3269,-0.6481,0,0
2023-10-04,50.12064864265443,50.298116463044,49.70967053227859,49.9245,17009000,CSCO.US,1.1743,-0.1869,-0.373,0,0
